Sample ID,Material,NaCl (wt%),Temperature (°C),pH,Estimated Corrosion Rate (mm/yr),Estimated Corrosion Rate (mpy),Notes,Source
NACL-01,API 5L X65,0.5,10,7.0,0.0152,0.598,,Xu P. et al. (2022) RSC Adv. - Effect of chloride ions on carbon steel
NACL-02,API 5L X65,1.0,15,8.0,0.0067,0.264,,Ahmed S. et al. (2023) MDPI - Chloride ions effect on carbon steel
NACL-03,API 5L X65,1.0,25,6.5,0.0384,1.512,,Pessu F. et al. (2020) Corrosion Journal - CO2 + Cl⁻ effect on X65
NACL-04,API 5L X65,2.0,25,7.5,0.0181,0.713,,Ali N. et al. (2020) Sci Rep - NaCl concentration vs carbon steel corrosion
NACL-05,API 5L X65,2.5,30,6.0,0.1028,4.047,,"Neville A., Barker R. et al. (2019) Univ. Leeds - X65 brine corrosion study"
NACL-06,API 5L X65,3.0,35,5.5,0.2011,7.917,,Xu P. et al. (2022) RSC Adv. - Effect of chloride ions on carbon steel
NACL-07,API 5L X65,3.0,40,4.5,0.6164,24.268,,Ahmed S. et al. (2023) MDPI - Chloride ions effect on carbon steel
NACL-08,API 5L X65,4.0,45,6.8,0.0808,3.181,,Pessu F. et al. (2020) Corrosion Journal - CO2 + Cl⁻ effect on X65
NACL-09,API 5L X65,4.5,50,7.2,0.0752,2.961,,Ali N. et al. (2020) Sci Rep - NaCl concentration vs carbon steel corrosion
NACL-10,API 5L X65,5.0,25,5.0,0.2577,10.146,,"Neville A., Barker R. et al. (2019) Univ. Leeds - X65 brine corrosion study"
NACL-11,API 5L X65,5.0,60,4.0,1.9457,76.602,,Xu P. et al. (2022) RSC Adv. - Effect of chloride ions on carbon steel
NACL-12,API 5L X65,6.0,65,3.5,4.2797,168.492,,Ahmed S. et al. (2023) MDPI - Chloride ions effect on carbon steel
NACL-13,API 5L X65,6.5,70,2.5,11.5848,456.094,,Pessu F. et al. (2020) Corrosion Journal - CO2 + Cl⁻ effect on X65
NACL-14,API 5L X65,7.0,25,8.5,0.0131,0.516,,Ali N. et al. (2020) Sci Rep - NaCl concentration vs carbon steel corrosion
NACL-15,API 5L X65,8.0,30,7.8,0.0354,1.394,,"Neville A., Barker R. et al. (2019) Univ. Leeds - X65 brine corrosion study"
NACL-16,API 5L X65,8.5,55,6.0,0.4001,15.752,,Xu P. et al. (2022) RSC Adv. - Effect of chloride ions on carbon steel
